WKT,src_name,src_link,ev_id,ev_date,ev_time,ev_title,ev_desc,loc_desc,loc_acc,ls_cat,ls_trig,ls_size,ls_setting,fatalities,injuries,storm_name,photo_link,comments,ev_imp_src,ev_imp_id,latitude,longitude,ctry_name,ctry_code,div_name,gaz_point,gaz_dist,sub_date,edit_date,source,method,img_type,sat_date_b,sat_date_a,citation
POINT (-123.7669 46.1947000000001),Oregon DOT,,8113,2015/12/08,15:00,"US 30, milepost 95",,"US 30, milepost 95",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,,46.1947,-123.7669,United States,US,Oregon,Astoria,4.33,2016/06/30,,COOLR_R,,,,,
POINT (-123.6315 44.3104000000001),Oregon DOT,,8775,2011/05/27,14:00,"OR 501, milepost 6",,"OR 501, milepost 6",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8775,44.3104,-123.6315,United States,US,Oregon,Tidewater,23.17,2016/07/08,,COOLR_R,,,,,
POINT (-123.8388 42.9627),Oregon DOT,,8859,2011/01/06,13:00,"OR 42, milepost 44",,"OR 42, milepost 44",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8859,42.9627,-123.8388,United States,US,Oregon,Remote,7.3,2016/07/08,,COOLR_R,,,,,
POINT (-121.5491 45.6542000000001),Oregon DOT,,8370,2014/02/18,17:00,"OR 281, milepost 5",,"OR 281, milepost 5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8370,45.6542,-121.5491,United States,US,Oregon,Hood River,2.33,2016/07/06,,COOLR_R,,,,,
POINT (-123.5804 44.6452),Oregon DOT,,7953,2016/03/25,00:00,"OR 180, milepost 13.5",,"OR 180, milepost 13.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,7953,44.6452,-123.5804,United States,US,Oregon,Eddyville,14.63,2016/06/30,,COOLR_R,,,,,
POINT (-122.9626 45.3573000000001),Oregon DOT,,8709,2012/01/19,13:00,"OR 219, milepost 14",,"OR 219, milepost 14",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8709,45.3573,-122.9626,United States,US,Oregon,Newberg,6.6,2016/07/08,,COOLR_R,,,,,
POINT (-122.4137 44.1214000000001),Oregon DOT,,8644,2012/03/16,06:00,"OR 126, milepost 36",,"OR 126, milepost 36",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8644,44.1214,-122.4137,United States,US,Oregon,Vida,12.96,2016/07/07,,COOLR_R,,,,,
POINT (-123.6903 44.3573000000001),Oregon DOT,,8660,2012/03/13,01:00,"OR 34, milepost 34",,"OR 34, milepost 34",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8660,44.3573,-123.6903,United States,US,Oregon,Tidewater,16.77,2016/07/07,,COOLR_R,,,,,
POINT (-123.7518 46.1857000000001),Oregon DOT,,8046,2015/12/19,16:00,"US 30, milepost 94",,"US 30, milepost 94",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8046,46.1857,-123.7518,United States,US,Oregon,Astoria,5.56,2016/06/30,,COOLR_R,,,,,
POINT (-123.3467 46.1199),Oregon DOT,,8517,2012/12/19,18:00,"US 30, milepost 69",,"US 30, milepost 69",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8517,46.1199,-123.3467,United States,US,Oregon,Cathlamet,9.62,2016/07/07,,COOLR_R,,,,,
POINT (-122.777 45.4938000000001),Oregon DOT,,7995,2016/02/01,19:00,"OR 8, milepost 2.1",,"OR 8, milepost 2.1",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,7995,45.4938,-122.777,United States,US,Oregon,Portland,12.03,2016/06/30,,COOLR_R,,,,,
POINT (104.40502614 21.5177269100001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Tram Tau 2017,Tram Tau Yen Bai Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.51772691,104.40502614,Vietnam,VN,Yen Bai,Nghia Lo,13.86,,,COOLR_R,,,,,
POINT (93.881852995 23.5804968210001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.58049682,93.881853,Myanmar,MM,Chin,Seksih,7.09,,,COOLR_R,,,,,
POINT (-119.0029 43.7624000000001),Oregon DOT,,8451,2013/09/04,16:00,"US 395, milepost 56",,"US 395, milepost 56",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,ODOT,8451,43.7624,-119.0029,United States,US,Oregon,Burns Municipal,19.45,2016/07/06,,COOLR_R,,,,,
POINT (93.830999235 23.6814946850001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.68149469,93.83099924,Myanmar,MM,Chin,Seksih,8.37,,,COOLR_R,,,,,
POINT (104.37499965 21.5399780400001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Tram Tau 2017,Tram Tau Yen Bai Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.53997804,104.37499965,Vietnam,VN,Yen Bai,Nghia Lo,15.06,,,COOLR_R,,,,,
POINT (93.9185667780001 23.799938952),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.79993895,93.91856678,Myanmar,MM,Chin,Seksih,17.58,,,COOLR_R,,,,,
POINT (93.9840686410001 23.81055366),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.81055366,93.98406864,Myanmar,MM,Chin,Seksih,20.5,,,COOLR_R,,,,,
POINT (104.439629253 21.3874545840001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Tram Tau 2017,Tram Tau Yen Bai Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.38745458,104.43962925,Vietnam,VN,Yen Bai,Lao Phou Van,13.96,,,COOLR_R,,,,,
POINT (104.039392166 21.649456833),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Muong La 2017,Muong La Son La Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.64945683,104.03939217,Vietnam,VN,Yen Bai,Ban Na Tong,15.49,,,COOLR_R,,,,,
POINT (93.773752642 23.6120079990001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.612008,93.77375264,Myanmar,MM,Chin,Seksih,13.4,,,COOLR_R,,,,,
POINT (104.069893499 21.7977428570001),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Mu Chang Chai 2017,Mu Chang Chai Yen Bai Vietnam 2017,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,21.79774286,104.0698935,Vietnam,VN,Yen Bai,Poun Loung,14.54,,,COOLR_R,,,,,
POINT (98.91078809 21.0017721),NASA SERVIR Science Coordination Office & SERVIR-Mekong,https://servir.adpc.net/,12320,,,Landslide in Myanmar,,,exact,landslide,unknown,unknown,unknown,0.0,0.0,,,Eifert/High/between 2/2003-2/2015/,SMMML,741,21.0017721,98.91078809,Myanmar,MM,Shan,Mong Leng,7.28,2018/08/17,,COOLR_R,,,,,
POINT (93.8851507790001 23.340447972),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Falam 2015,Falam Chin Myanmar 2015,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,23.34044797,93.88515078,Myanmar,MM,Chin,Neyinzaya Chaung,16.77,,,COOLR_R,,,,,
POINT (104.608794813 20.420829241),Rainfall-induced landslide inventories for Lower Mekong,https://doi.org/10.1002/gdj3.145,0,,unknown,Muong Lat 2018,Muong Lat Tanh Hoa Vietnam 2018,,1km,unknown,rain,unknown,unknown,0.0,0.0,,,,LMR,,20.42082924,104.60879481,Vietnam,VN,Thanh Hoa,Muong Lat,12.97,,,COOLR_R,,,,,
