Latitude,Longitude,LandslideN,Country,Date,Day,Month,Year,Continent,Fatalities,Trigger,Report_1,Source_1,Report_2,Source_2,Report_3,Source_3,Report_4,Source_4,Location_M,Precision,Location_R,geometry,WKT_GEOM
"33,43940072","65,82961598",4188,Afghanistan,2014-10-28,28,10,2014,S. Asia,3,rainfall,See spreadsheet,https://data.hdx.rwlabs.org/dataset/natural-disaster-incidents-from-1-january-to-31-december-2014,,,,,,,Kiti,"1273212143,69","Kiti, Daykundi",POINT Z (65.82961598 33.43940072 4188),POINT (65.82961598 33.43940072)
"35,94358891","68,71123448",4745,Afghanistan,2016-06-06,6,6,2016,S. Asia,4,rainfall,"At least four members of one family were killed and four others injured in a landslide in northern Baghlan province on Monday night, local officials said.

The incident took place at about midnight in Pul-e-Khumri, the capital of the province, after the",http://www.tolonews.com/en/afghanistan/25683-four-members-of-one-family-killed-in-baghlan-landslide,,,,,,,Pul-e-Khumri,"23371760,2156",Pul-e-Khumri,POINT Z (68.71123448 35.94358891 4745),POINT (68.71123448 35.94358891)
"36,6764219","5,95409637",1715,Algeria,2009-01-13,13,1,2009,N. Africa,6,rainfall,"Six members of the same family were killed Tuesday in a landslide that hit their home in Chahna near Jijel (360 km east of Algiers), said Civil Defense cited by the APS agency.        A mother and her five children (four boys and a girl) were killed in t",http://www.ennaharonline.com/en/news/182.html,,,,,,,Chahna,"620940,900609",Chahna near Jijel,POINT Z (5.95409637 36.6764219 1715),POINT (5.95409637 36.6764219)
"-45,8459014","-67,51146098",2181,Argentina,2009-12-17,17,12,2009,S. America,1,rainfall,"The death toll from a storm that battered the western Argentine province of Mendoza has risen to three, authorities said Friday.

The head of emergency services in Mendoza, Aldo Sarmiento, told reporters that the latest fatality was an 11-year-old boy wh",http://www.laht.com/article.asp?ArticleId=349177&CategoryId=14093,,,,,,,Comodoro Rivadavia,"88341454,1355","Mendoza, Aldo Sarmiento",POINT Z (-67.51146098 -45.8459014 2181),POINT (-67.51146098 -45.8459014)
"-23,05910087","142,4388212",4998,Australia,2016-10-22,22,10,2016,Australia and New Zealand,1,mining (unknown),"A sixty-two-year-old miner has been found dead following a the collapse of an exploration trench at a mine in Opalton, Queensland, on Saturday 22 October 2016. Sid Cuddy was reported missing after a friend visited the site where he was operating at about",http://sciencythoughts.blogspot.co.uk/2016/10/queensland-miner-killed-in-trench.html,,,,,,,Opalton,"16916751453,8","Opalton, Queensland",POINT Z (142.4388212 -23.05910087 4998),POINT (142.4388212 -23.05910087)
"22,36201984","91,82421705",65,Bangladesh,2004-06-20,20,6,2004,S. Asia,2,rainfall,"Josna Begum, 22, and her one-year-old boy Mohammad Yusuf were trapped under a huge mound of earth and rocks as a large chunk of a hill at Alinagar, Nasirabad collapsed on their hillside shanty at around 1pm, police and locals said.",http://www.thedailystar.net/2004/06/21/d40621012525.htm,,,,,,,Nasirabad,"402714,163803","Alinagar, Nasirabad, Chittagong",POINT Z (91.82421705 22.36201984 65),POINT (91.82421705 22.36201984)
"22,35903035","91,77740967",1024,Bangladesh,2007-06-10,10,6,2007,S. Asia,29,rainfall,"Of the recovered bodies, the highest 31 were recovered from  a lemon garden in Hathazari upazila followed by 29 in Pahartali, 9 in Kusumbagh, 8 in Bhatiari Sekendar Colony area and five each on Chittagong University campus and at Baizid Bostami. Locals s",http://nation.ittefaq.com/artman/publish/article_36763.shtml,,,,,,,Pahartali,"18028778,9964","Pahartali, Chittagong",POINT Z (91.77740967 22.35903035 1024),POINT (91.77740967 22.35903035)
"23,7465675","90,37593211",2316,Bangladesh,2010-04-25,25,4,2010,S. Asia,2,construction,"Two workers died and four were injured when earth collapsed at a Dhanmondi construction site in Dhaka on Monday.

Shah Alam, OC of Dhanmondi Police Station, told bdnews24.com that the landslide had happened when the labourers were working at a plot owned",http://bdnews24.com/details.php?id=159405&cid=2,,,,,,,Dhanmondi,"2012159,09372","Dhanmondi, Dhaka",POINT Z (90.37593211 23.7465675 2316),POINT (90.37593211 23.7465675)
"24,89934779","91,86288001",3520,Bangladesh,2013-03-13,13,3,2013,S. Asia,3,unknown,"Landslide in Sylhet, Bangladesh
-Landslide in Sylhet, Bangladesh has killed three people and injured 10 others.
-Injured people are having treatment at MAG Osmani Medical College Hospital in Sylhet. 
",http://www.disaster-report.com/2013/03/natural-disasters-list-march-13-2013.html,,,,,,,Sylhet,"62378833,2747",Sylhet,POINT Z (91.86288001 24.89934779 3520),POINT (91.86288001 24.89934779)
"25,13230988","92,12149155",3260,Bangladesh,2012-06-12,12,6,2012,S. Asia,2,rainfall,"Two brothers died when their mud house at the foot of a hill collapsed at Baildhara village in Jaintapur of the district yesterday.

The dead are Shahin Miah, 10, and Fahim Miah, 8, sons of Delwar Hossain.

It was raining heavily when the incident happen",http://www.thedailystar.net/newDesign/news-details.php?nid=238141,,,,,,,Jaintapur,"683060,017087",Baildhara village in Jaintapur,POINT Z (92.12149155 25.13230988 3260),POINT (92.12149155 25.13230988)
