WKT_GEOM,NEW DATASET,ID,OLD DATASET,OLD ID,VERSION,COUNTRY,ACCURACY,START DATE,END DATE,TYPE,TRIGGER,AFFIDABILITY,PSV,DCMV,FATALITIES,INJURIES,NOTES,LINK
POINT (-123.7669 46.1947000000001),UGLC,CALC,COOLR_R,8113,2019,United States,0.0,2015/12/08,2015/12/08,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: US 30, milepost 95, description: ND",Source: ND
POINT (-123.6315 44.3104000000001),UGLC,CALC,COOLR_R,8775,2019,United States,0.0,2011/05/27,2011/05/27,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: OR 501, milepost 6, description: ND",Source: ND
POINT (-123.8388 42.9627),UGLC,CALC,COOLR_R,8859,2019,United States,0.0,2011/01/06,2011/01/06,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: OR 42, milepost 44, description: ND",Source: ND
POINT (-121.5491 45.6542000000001),UGLC,CALC,COOLR_R,8370,2019,United States,0.0,2014/02/18,2014/02/18,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: OR 281, milepost 5, description: ND",Source: ND
POINT (-123.5804 44.6452),UGLC,CALC,COOLR_R,7953,2019,United States,0.0,2016/03/25,2016/03/25,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: OR 180, milepost 13.5, description: ND",Source: ND
POINT (-122.9626 45.3573000000001),UGLC,CALC,COOLR_R,8709,2019,United States,0.0,2012/01/19,2012/01/19,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: OR 219, milepost 14, description: ND",Source: ND
POINT (-122.4137 44.1214000000001),UGLC,CALC,COOLR_R,8644,2019,United States,0.0,2012/03/16,2012/03/16,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: OR 126, milepost 36, description: ND",Source: ND
POINT (-123.6903 44.3573000000001),UGLC,CALC,COOLR_R,8660,2019,United States,0.0,2012/03/13,2012/03/13,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: OR 34, milepost 34, description: ND",Source: ND
POINT (-123.7518 46.1857000000001),UGLC,CALC,COOLR_R,8046,2019,United States,0.0,2015/12/19,2015/12/19,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: US 30, milepost 94, description: ND",Source: ND
POINT (-123.3467 46.1199),UGLC,CALC,COOLR_R,8517,2019,United States,0.0,2012/12/19,2012/12/19,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: US 30, milepost 69, description: ND",Source: ND
POINT (-122.777 45.4938000000001),UGLC,CALC,COOLR_R,7995,2019,United States,0.0,2016/02/01,2016/02/01,slide,ND,1,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: OR 8, milepost 2.1, description: ND",Source: ND
POINT (104.40502614 21.5177269100001),UGLC,CALC,COOLR_R,ND,2019,Vietnam,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Tram Tau Yen Bai Vietnam 2017",Source: https://doi.org/10.1002/gdj3.145
POINT (93.881852995 23.5804968210001),UGLC,CALC,COOLR_R,ND,2019,Myanmar,1000.0,1956/01/01,2023/01/01,ND,rainfall,8,CALC,CALC,0.0,0.0,"Cooperative Open Online Landslide Repository - NASA, locality: ND, description: Falam Chin Myanmar 2015",Source: https://doi.org/10.1002/gdj3.145
