WKT_GEOM,NEW DATASET,ID,OLD DATASET,OLD ID,VERSION,COUNTRY,ACCURACY,START DATE,END DATE,TYPE,TRIGGER,AFFIDABILITY,PSV,DCMV,FATALITIES,INJURIES,NOTES,LINK
POINT (16.173 40.592109),UGLC,CALC,ITALICA,ITA_0001,V2 - 2023,Italy,0,2004/11/12,2004/11/12,rock fall,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Matera, Basilicata, description: ND",Source: ND
POINT (13.671922 42.51),UGLC,CALC,ITALICA,ITA_0002,V2 - 2023,Italy,599,2002/05/19,2002/05/19,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Teramo, Abruzzo, description: ND",Source: ND
POINT (13.912392 42.222749),UGLC,CALC,ITALICA,ITA_0003,V2 - 2023,Italy,599,2002/05/19,2002/05/19,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pescara, Abruzzo, description: ND",Source: ND
POINT (13.707871 42.662722),UGLC,CALC,ITALICA,ITA_0004,V2 - 2023,Italy,599,2002/07/30,2002/07/30,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Teramo, Abruzzo, description: ND",Source: ND
POINT (15.333126 40.13853),UGLC,CALC,ITALICA,ITA_0005,V2 - 2023,Italy,1799,2010/01/09,2010/01/09,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Salerno, Campania, description: ND",Source: ND
POINT (9.004449 44.440111),UGLC,CALC,ITALICA,ITA_0006,V2 - 2023,Italy,599,2009/02/05,2009/02/05,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Genova, Liguria, description: ND",Source: ND
POINT (9.337168 44.351675),UGLC,CALC,ITALICA,ITA_0007,V2 - 2023,Italy,599,2014/11/10,2014/11/10,debris flow,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Genova, Liguria, description: ND",Source: ND
POINT (8.328444 44.205047),UGLC,CALC,ITALICA,ITA_0008,V2 - 2023,Italy,599,2014/11/15,2014/11/15,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Savona, Liguria, description: ND",Source: ND
POINT (8.890096 44.458494),UGLC,CALC,ITALICA,ITA_0009,V2 - 2023,Italy,0,2019/11/07,2019/11/07,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Genova, Liguria, description: ND",Source: ND
POINT (8.854166 44.511353),UGLC,CALC,ITALICA,ITA_0010,V2 - 2023,Italy,0,2019/11/23,2019/11/23,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Genova, Liguria, description: ND",Source: ND
POINT (9.86324 44.13217),UGLC,CALC,ITALICA,ITA_0011,V2 - 2023,Italy,0,2019/11/26,2019/11/26,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:La Spezia, Liguria, description: ND",Source: ND
POINT (9.071877 44.382588),UGLC,CALC,ITALICA,ITA_0012,V2 - 2023,Italy,599,2020/01/17,2020/01/17,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Genova, Liguria, description: ND",Source: ND
POINT (9.434176 44.304417),UGLC,CALC,ITALICA,ITA_0013,V2 - 2023,Italy,599,2021/01/22,2021/01/22,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Genova, Liguria, description: ND",Source: ND
POINT (9.1384 44.362487),UGLC,CALC,ITALICA,ITA_0014,V2 - 2023,Italy,1799,2014/01/19,2014/01/19,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Genova, Liguria, description: ND",Source: ND
POINT (12.938572 43.842382),UGLC,CALC,ITALICA,ITA_0015,V2 - 2023,Italy,599,2010/02/12,2010/02/12,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pesaro e Urbino, Marche, description: ND",Source: ND
POINT (12.99294 43.845037),UGLC,CALC,ITALICA,ITA_0016,V2 - 2023,Italy,599,2010/02/12,2010/02/12,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pesaro e Urbino, Marche, description: ND",Source: ND
POINT (14.094156 37.802852),UGLC,CALC,ITALICA,ITA_0017,V2 - 2023,Italy,599,2009/01/13,2009/01/13,rock fall,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Palermo, Sicilia, description: ND",Source: ND
POINT (14.196225 37.291221),UGLC,CALC,ITALICA,ITA_0018,V2 - 2023,Italy,1799,2009/01/20,2009/01/20,earth flow,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Caltanissetta, Sicilia, description: ND",Source: ND
POINT (14.26924 37.563635),UGLC,CALC,ITALICA,ITA_0019,V2 - 2023,Italy,599,2012/10/31,2012/10/31,rock fall,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Enna, Sicilia, description: ND",Source: ND
POINT (13.495867 37.621793),UGLC,CALC,ITALICA,ITA_0020,V2 - 2023,Italy,599,2015/01/30,2015/01/30,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Agrigento, Sicilia, description: ND",Source: ND
POINT (10.6422 43.821655),UGLC,CALC,ITALICA,ITA_0021,V2 - 2023,Italy,0,2013/01/17,2013/01/17,ND,rainfall,1,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Lucca, Toscana, description: ND",Source: ND
POINT (12.440188 43.111541),UGLC,CALC,ITALICA,ITA_0022,V2 - 2023,Italy,599,2005/12/06,2005/12/06,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Perugia, Umbria, description: ND",Source: ND
POINT (12.550332 42.610321),UGLC,CALC,ITALICA,ITA_0023,V2 - 2023,Italy,599,2005/12/06,2005/12/06,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Terni, Umbria, description: ND",Source: ND
POINT (11.760273 46.045858),UGLC,CALC,ITALICA,ITA_0024,V2 - 2023,Italy,599,2008/12/15,2008/12/15,rock fall,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Belluno, Veneto, description: ND",Source: ND
POINT (14.200795 42.357526),UGLC,CALC,ITALICA,ITA_0025,V2 - 2023,Italy,599,2002/02/22,2002/02/22,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (14.004027 42.153674),UGLC,CALC,ITALICA,ITA_0026,V2 - 2023,Italy,599,2002/12/08,2002/12/08,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pescara, Abruzzo, description: ND",Source: ND
POINT (14.014893 42.459915),UGLC,CALC,ITALICA,ITA_0027,V2 - 2023,Italy,5999,2002/12/08,2002/12/08,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pescara, Abruzzo, description: ND",Source: ND
POINT (13.833404 42.171753),UGLC,CALC,ITALICA,ITA_0028,V2 - 2023,Italy,5999,2002/12/08,2002/12/08,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pescara, Abruzzo, description: ND",Source: ND
POINT (13.93184 42.243497),UGLC,CALC,ITALICA,ITA_0029,V2 - 2023,Italy,1799,2002/12/08,2002/12/08,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Pescara, Abruzzo, description: ND",Source: ND
POINT (14.369662 41.962323),UGLC,CALC,ITALICA,ITA_0030,V2 - 2023,Italy,1799,2002/12/11,2002/12/11,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (14.163189 42.370967),UGLC,CALC,ITALICA,ITA_0031,V2 - 2023,Italy,599,2002/12/26,2002/12/26,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (14.181636 42.351536),UGLC,CALC,ITALICA,ITA_0032,V2 - 2023,Italy,599,2002/12/26,2002/12/26,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (14.135895 42.318759),UGLC,CALC,ITALICA,ITA_0033,V2 - 2023,Italy,599,2002/12/26,2002/12/26,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (14.186491 42.378875),UGLC,CALC,ITALICA,ITA_0034,V2 - 2023,Italy,599,2002/12/26,2002/12/26,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (14.164092 42.361698),UGLC,CALC,ITALICA,ITA_0035,V2 - 2023,Italy,599,2002/12/26,2002/12/26,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (14.145613 42.342436),UGLC,CALC,ITALICA,ITA_0036,V2 - 2023,Italy,599,2002/12/26,2002/12/26,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (14.391494 42.231938),UGLC,CALC,ITALICA,ITA_0037,V2 - 2023,Italy,5999,2003/06/18,2003/06/18,ND,rainfall,9,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (13.980573 42.581376),UGLC,CALC,ITALICA,ITA_0038,V2 - 2023,Italy,599,2004/05/13,2004/05/13,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Teramo, Abruzzo, description: ND",Source: ND
POINT (14.701382 42.119183),UGLC,CALC,ITALICA,ITA_0039,V2 - 2023,Italy,599,2004/06/04,2004/06/04,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (14.705811 42.125498),UGLC,CALC,ITALICA,ITA_0040,V2 - 2023,Italy,599,2004/06/04,2004/06/04,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (14.714097 42.121085),UGLC,CALC,ITALICA,ITA_0041,V2 - 2023,Italy,599,2004/06/04,2004/06/04,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Chieti, Abruzzo, description: ND",Source: ND
POINT (13.627991 42.582889),UGLC,CALC,ITALICA,ITA_0042,V2 - 2023,Italy,599,2004/07/25,2004/07/25,ND,rainfall,7,CALC,CALC,ND,ND,"ITAlian rainfall-induced LandslIdes Catalogue - CNR IRPI, locality:Teramo, Abruzzo, description: ND",Source: ND
