,OLD_DATA,START_DATA
0,9/26/2007,2007/09/26
1,4/29/2015,2015/04/29
2,8/16/2011,2011/08/16
3,5/13/2007,2007/05/13
4,10/16/2013,2013/10/16
5,3/13/2005,2005/03/13
6,6/4/2015,2015/04/06
7,4/26/2011,2011/04/26
8,9/14/2007,2007/09/14
9,10/28/2011,2011/10/28
10,11/4/2006,2006/04/11
11,9/28/2015,2015/09/28
12,1/11/2011,2011/11/01
13,9/25/2008,2008/09/25
14,4/11/2006,2006/11/04
15,4/11/2008,2008/11/04
16,10/10/2008,2008/10/10
17,6/5/2014,2014/05/06
18,2/14/2013,2013/02/14
19,5/14/2011,2011/05/14
20,5/13/2013,2013/05/13
21,4/26/2013,2013/04/26
22,9/5/2006,2006/05/09
23,3/27/2013,2013/03/27
24,4/16/2013,2013/04/16
25,5/10/2013,2013/10/05
26,5/14/2008,2008/05/14
27,12/22/2005,2005/12/22
28,4/30/2005,2005/04/30
29,7/21/2011,2011/07/21
30,9/21/2012,2012/09/21
31,6/6/2007,2007/06/06
32,6/27/2011,2011/06/27
33,7/28/2015,2015/07/28
34,12/3/2007,2007/03/12
35,11/6/2007,2007/06/11
36,3/21/2015,2015/03/21
37,2/4/2010,2010/04/02
38,4/10/2008,2008/10/04
39,9/10/2010,2010/10/09
40,8/3/2007,2007/03/08
41,7/31/2007,2007/07/31
42,9/11/2006,2006/11/09
43,3/29/2014,2014/03/29
44,8/1/2010,2010/01/08
45,8/13/2015,2015/08/13
46,3/11/2008,2008/11/03
47,9/22/2012,2012/09/22
48,4/25/2011,2011/04/25
49,7/1/2009,2009/01/07
50,7/2/2008,2008/02/07
51,2/22/2014,2014/02/22
52,3/25/2015,2015/03/25
53,12/20/2010,2010/12/20
54,8/7/2011,2011/07/08
55,5/17/2007,2007/05/17
56,5/10/2014,2014/10/05
57,6/5/2008,2008/05/06
58,1/2/2010,2010/02/01
59,3/24/2015,2015/03/24
60,4/25/2006,2006/04/25
61,4/19/2011,2011/04/19
62,5/13/2009,2009/05/13
63,4/11/2015,2015/11/04
64,8/30/2014,2014/08/30
65,6/28/2011,2011/06/28
66,4/4/2008,2008/04/04
67,9/15/2013,2013/09/15
68,3/9/2013,2013/09/03
69,3/17/2006,2006/03/17
70,5/6/2010,2010/06/05
71,2/21/2014,2014/02/21
72,8/6/2015,2015/06/08
73,9/20/2012,2012/09/20
74,4/29/2010,2010/04/29
75,10/3/2011,2011/03/10
76,4/26/2009,2009/04/26
77,3/24/2005,2005/03/24
78,4/20/2013,2013/04/20
79,4/14/2014,2014/04/14
80,6/9/2010,2010/09/06
81,3/19/2012,2012/03/19
82,10/1/2012,2012/01/10
83,8/17/2006,2006/08/17
84,4/8/2012,2012/08/04
85,9/27/2013,2013/09/27
86,10/2/2010,2010/02/10
87,11/4/2010,2010/04/11
88,10/6/2006,2006/06/10
89,3/22/2010,2010/03/22
90,10/1/2015,2015/01/10
91,9/21/2010,2010/09/21
92,6/26/2014,2014/06/26
93,6/29/2009,2009/06/29
94,4/22/2009,2009/04/22
95,2/9/2011,2011/09/02
96,7/4/2012,2012/04/07
97,2/9/2012,2012/09/02
98,3/17/2011,2011/03/17
99,2/22/2007,2007/02/22
100,3/20/2013,2013/03/20
101,4/27/2013,2013/04/27
102,4/15/2008,2008/04/15
103,10/20/2006,2006/10/20
104,7/9/2010,2010/09/07
105,11/2/2007,2007/02/11
106,11/2/2006,2006/02/11
107,11/15/2014,2014/11/15
108,9/26/2012,2012/09/26
109,2/19/2006,2006/02/19
110,5/20/2010,2010/05/20
111,8/17/2006,2006/08/17
112,2/25/2006,2006/02/25
113,4/26/2008,2008/04/26
114,4/13/2014,2014/04/13
115,6/11/2010,2010/11/06
116,5/17/2005,2005/05/17
117,8/8/2011,2011/08/08
118,12/8/2006,2006/08/12
119,9/3/2014,2014/03/09
120,4/28/2008,2008/04/28
121,10/5/2013,2013/05/10
122,6/28/2007,2007/06/28
123,10/29/2015,2015/10/29
124,5/15/2012,2012/05/15
125,7/30/2006,2006/07/30
126,4/2/2009,2009/02/04
127,1/29/2014,2014/01/29
